Date,Open,High,Low,Close,Volume,Quote_Volume,Trades_Count,RSI
2023-02-17 15:08:00,0.3995,0.3995,0.399,0.399,106549.0,42541.0,117,
2023-02-17 15:09:00,0.399,0.3993,0.3986,0.399,93843.0,37443.0,103,
2023-02-17 15:10:00,0.3989,0.399,0.3983,0.3986,139984.0,55785.0,155,
2023-02-17 15:11:00,0.3986,0.3994,0.3986,0.3989,104175.0,41570.0,125,
2023-02-17 15:12:00,0.3988,0.4,0.3987,0.3996,151320.0,60467.0,166,71.42857142857086
2023-02-17 15:13:00,0.3996,0.4004,0.3996,0.3996,200367.0,80123.0,198,71.42857142857086
2023-02-17 15:14:00,0.3997,0.3999,0.3991,0.3993,111394.0,44502.0,132,58.82352941176355
2023-02-17 15:15:00,0.3993,0.3997,0.399,0.3992,162368.0,64827.0,209,71.42857142857086
2023-02-17 15:16:00,0.3992,0.4,0.3991,0.3999,119871.0,47916.0,137,77.77777777777743
2023-02-17 15:17:00,0.3999,0.4003,0.3997,0.4002,84786.0,33915.0,100,71.42857142857086
2023-02-17 15:18:00,0.4003,0.4008,0.4003,0.4006,163399.0,65444.0,189,77.77777777777743
2023-02-17 15:19:00,0.4006,0.4012,0.4006,0.401,264975.0,106258.0,275,94.73684210526378
2023-02-17 15:20:00,0.401,0.4019,0.4009,0.4015,255456.0,102603.0,283,100.0
2023-02-17 15:21:00,0.4015,0.4019,0.4013,0.4013,160564.0,64502.0,132,88.88888888888752
2023-02-17 15:22:00,0.4014,0.4018,0.4007,0.4007,166068.0,66630.0,144,61.904761904761656
2023-02-17 15:23:00,0.4006,0.4009,0.4002,0.4008,144890.0,58023.0,157,55.55555555555487
2023-02-17 15:24:00,0.4008,0.401,0.4003,0.4004,68788.0,27567.0,86,33.333333333332305
2023-02-17 15:25:00,0.4003,0.4005,0.4,0.4,186732.0,74720.0,126,5.8823529411758955
2023-02-17 15:26:00,0.4001,0.4002,0.3996,0.3997,84780.0,33888.0,107,5.5555555555550455
2023-02-17 15:27:00,0.3997,0.4003,0.3997,0.4001,213837.0,85517.0,143,31.250000000000213
2023-02-17 15:28:00,0.4001,0.4003,0.3997,0.4,286763.0,114720.0,146,25.000000000000867
2023-02-17 15:29:00,0.4,0.4,0.3994,0.3995,161428.0,64534.0,125,23.52941176470685
2023-02-17 15:30:00,0.3994,0.3997,0.3993,0.3994,79575.0,31789.0,95,28.571428571428
2023-02-17 15:31:00,0.3995,0.3999,0.3993,0.3999,145900.0,58311.0,123,56.24999999999913
2023-02-17 15:32:00,0.3999,0.4003,0.3999,0.4002,241762.0,96717.0,139,53.33333333333284
2023-02-17 15:33:00,0.4003,0.4003,0.3998,0.4,84737.0,33897.0,63,50.0
2023-02-17 15:34:00,0.4,0.4003,0.3999,0.3999,170405.0,68166.0,101,66.66666666666359
2023-02-17 15:35:00,0.4,0.4003,0.3997,0.4003,57154.0,22866.0,55,79.99999999999926
2023-02-17 15:36:00,0.4004,0.4008,0.4003,0.4007,80223.0,32143.0,91,78.571428571428
2023-02-17 15:37:00,0.4007,0.4012,0.4002,0.4002,90603.0,36313.0,122,50.0
2023-02-17 15:38:00,0.4002,0.4004,0.3993,0.4,144913.0,57939.0,170,50.0
2023-02-17 15:39:00,0.4001,0.4011,0.4,0.4005,187389.0,75074.0,200,65.00000000000111
2023-02-17 15:40:00,0.4006,0.4011,0.4003,0.4011,106005.0,42484.0,125,68.18181818181887
2023-02-17 15:41:00,0.4011,0.4018,0.4011,0.4017,156384.0,62782.0,197,70.83333333333371
2023-02-17 15:42:00,0.4017,0.4019,0.4011,0.4014,85770.0,34442.0,113,77.27272727272705
2023-02-17 15:43:00,0.4014,0.4017,0.4012,0.4013,70190.0,28172.0,90,80.95238095238032
2023-02-17 15:44:00,0.4013,0.4016,0.4008,0.4009,71057.0,28514.0,79,59.99999999999889
2023-02-17 15:45:00,0.4008,0.4014,0.4008,0.4013,105578.0,42353.0,107,55.55555555555487
2023-02-17 15:46:00,0.4012,0.4014,0.4008,0.4009,101299.0,40626.0,105,25.000000000000014
2023-02-17 15:47:00,0.4007,0.4009,0.4002,0.4006,94430.0,37823.0,103,25.000000000000867
2023-02-17 15:48:00,0.4007,0.4009,0.4005,0.4007,48567.0,19465.0,73,31.250000000000213
2023-02-17 15:49:00,0.4006,0.4006,0.4002,0.4004,59299.0,23741.0,83,33.33333333333333
2023-02-17 15:50:00,0.4004,0.4007,0.4001,0.4007,175786.0,70372.0,105,28.571428571429138
2023-02-17 15:51:00,0.4007,0.4007,0.4003,0.4007,75556.0,30267.0,74,40.000000000001116
2023-02-17 15:52:00,0.4007,0.4007,0.4,0.4002,87589.0,35065.0,82,33.33333333333333
2023-02-17 15:53:00,0.4002,0.4002,0.4,0.4,58101.0,23243.0,59,23.076923076924388
2023-02-17 15:54:00,0.4,0.4005,0.3999,0.4004,96684.0,38704.0,86,50.0
2023-02-17 15:55:00,0.4004,0.4009,0.4003,0.4008,247693.0,99247.0,121,53.33333333333309
2023-02-17 15:56:00,0.4008,0.4009,0.4007,0.4007,35425.0,14201.0,50,50.0
2023-02-17 15:57:00,0.4008,0.4012,0.4004,0.4005,129230.0,51806.0,117,61.53846153846318
2023-02-17 15:58:00,0.4006,0.4008,0.4005,0.4007,62411.0,24999.0,51,76.92307692307791
2023-02-17 15:59:00,0.4007,0.401,0.4005,0.4008,88306.0,35394.0,81,70.00000000000166
2023-02-17 16:00:00,0.4007,0.4016,0.4007,0.4016,261432.0,104890.0,150,78.57142857143027
2023-02-17 16:01:00,0.4016,0.4024,0.4016,0.4019,281524.0,113194.0,220,87.50000000000087
2023-02-17 16:02:00,0.4018,0.4018,0.4009,0.4012,361168.0,144938.0,229,66.66666666666666
2023-02-17 16:03:00,0.4012,0.4016,0.4008,0.401,100464.0,40310.0,96,57.1428571428579
2023-02-17 16:04:00,0.4009,0.4009,0.4004,0.4005,94412.0,37826.0,88,44.00000000000053
2023-02-17 16:05:00,0.4006,0.4013,0.4004,0.4012,196289.0,78701.0,161,41.66666666666609
2023-02-17 16:06:00,0.4013,0.4017,0.4012,0.4016,38722.0,15544.0,69,44.00000000000053
2023-02-17 16:07:00,0.4017,0.4021,0.4017,0.402,34152.0,13730.0,33,68.18181818181887
